symbol,security,sector,industry,index
spgi,"S&P Global, Inc.",financials,financial exchanges & data,SP500
swk,Stanley Black & Decker,industrials,industrial machinery,SP500
sbux,Starbucks Corp.,consumer discretionary,restaurants,SP500
stt,State Street Corp.,financials,asset management & custody banks,SP500
syk,Stryker Corp.,health care,health care equipment,SP500
sti,SunTrust Banks,financials,regional banks,SP500
sivb,SVB Financial,financials,regional banks,SP500
symc,Symantec Corp.,information technology,application software,SP500
syf,Synchrony Financial,financials,consumer finance,SP500
snps,Synopsys Inc.,information technology,application software,SP500
syy,Sysco Corp.,consumer staples,food distributors,SP500
tmus,T-Mobile US,communication services,wireless telecommunication services,SP500
trow,T. Rowe Price Group,financials,asset management & custody banks,SP500
ttwo,Take-Two Interactive,communication services,interactive home entertainment,SP500
tpr,"Tapestry, Inc.",consumer discretionary,"apparel, accessories & luxury goods",SP500
tgt,Target Corp.,consumer discretionary,general merchandise stores,SP500
tel,TE Connectivity Ltd.,information technology,electronic manufacturing services,SP500
fti,TechnipFMC,energy,oil & gas equipment & services,SP500
tfx,Teleflex,health care,health care equipment,SP500
txn,Texas Instruments,information technology,semiconductors,SP500
txt,Textron Inc.,industrials,aerospace & defense,SP500
tmo,Thermo Fisher Scientific,health care,health care equipment,SP500
tif,Tiffany & Co.,consumer discretionary,"apparel, accessories & luxury goods",SP500
twtr,"Twitter, Inc.",communication services,interactive media & services,SP500
tjx,TJX Companies Inc.,consumer discretionary,apparel retail,SP500
tsco,Tractor Supply Company,consumer discretionary,specialty stores,SP500
tdg,TransDigm Group,industrials,aerospace & defense,SP500
trv,The Travelers Companies Inc.,financials,property & casualty insurance,SP500
trip,TripAdvisor,communication services,interactive media & services,SP500
tsn,Tyson Foods,consumer staples,packaged foods & meats,SP500
udr,"UDR, Inc.",real estate,residential reits,SP500
ulta,Ulta Beauty,consumer discretionary,specialty stores,SP500
usb,U.S. Bancorp,financials,diversified banks,SP500
uaa,Under Armour Class A,consumer discretionary,"apparel, accessories & luxury goods",SP500
ua,Under Armour Class C,consumer discretionary,"apparel, accessories & luxury goods",SP500
unp,Union Pacific Corp,industrials,railroads,SP500
ual,United Airlines Holdings,industrials,airlines,SP500
unh,United Health Group Inc.,health care,managed health care,SP500
ups,United Parcel Service,industrials,air freight & logistics,SP500
uri,"United Rentals, Inc.",industrials,trading companies & distributors,SP500
utx,United Technologies,industrials,aerospace & defense,SP500
uhs,"Universal Health Services, Inc.",health care,health care facilities,SP500
unm,Unum Group,financials,life & health insurance,SP500
vfc,V.F. Corp.,consumer discretionary,"apparel, accessories & luxury goods",SP500
vlo,Valero Energy,energy,oil & gas refining & marketing,SP500
var,Varian Medical Systems,health care,health care equipment,SP500
vtr,Ventas Inc,real estate,health care reits,SP500
vrsn,Verisign Inc.,information technology,internet services & infrastructure,SP500
vrsk,Verisk Analytics,industrials,research & consulting services,SP500
vz,Verizon Communications,"communication services
",integrated telecommunication services,SP500
vrtx,Vertex Pharmaceuticals Inc,health care,biotechnology,SP500
viab,Viacom Inc.,communication services,movies & entertainment,SP500
v,Visa Inc.,information technology,data processing & outsourced services,SP500
vno,Vornado Realty Trust,real estate,office reits,SP500
vmc,Vulcan Materials,materials,construction materials,SP500
wab,Wabtec Corporation,industrials,construction machinery & heavy trucks,SP500
wmt,Walmart,consumer staples,hypermarkets & super centers,SP500
wba,Walgreens Boots Alliance,consumer staples,drug retail,SP500
dis,The Walt Disney Company,communication services,movies & entertainment,SP500
wm,Waste Management Inc.,industrials,environmental & facilities services,SP500
wat,Waters Corporation,health care,health care distributors,SP500
wec,Wec Energy Group Inc,utilities,electric utilities,SP500
wcg,WellCare,health care,managed health care,SP500
wfc,Wells Fargo,financials,diversified banks,SP500
well,Welltower Inc.,real estate,health care reits,SP500
wdc,Western Digital,information technology,"technology hardware, storage & peripherals",SP500
wu,Western Union Co,information technology,data processing & outsourced services,SP500
wrk,WestRock,materials,paper packaging,SP500
wy,Weyerhaeuser,real estate,specialized reits,SP500
whr,Whirlpool Corp.,consumer discretionary,household appliances,SP500
wmb,Williams Cos.,energy,oil & gas storage & transportation,SP500
wltw,Willis Towers Watson,financials,insurance brokers,SP500
wynn,Wynn Resorts Ltd,consumer discretionary,casinos & gaming,SP500
xel,Xcel Energy Inc,utilities,multi-utilities,SP500
xrx,Xerox,information technology,"technology hardware, storage & peripherals",SP500
xlnx,Xilinx,information technology,semiconductors,SP500
xyl,Xylem Inc.,industrials,industrial machinery,SP500
yum,Yum! Brands Inc,consumer discretionary,restaurants,SP500
zbh,Zimmer Biomet Holdings,health care,health care equipment,SP500
zion,Zions Bancorp,financials,regional banks,SP500
zts,Zoetis,health care,pharmaceuticals,SP500
